CO_ITEM,SG_UF_PROVA,TX_GABARITO,answer_distribution,correct_probability
19807,RS,E,[0.06134458 0.13824566 0.57082619 0.14691729 0.07995045 0.00271584],0.07995044787497618
19807,SC,E,[0.06010942 0.13660806 0.58283456 0.14219583 0.07572711 0.00252502],0.07572711119423922
19807,SE,E,[0.0718889  0.15548697 0.49832078 0.17418535 0.0974857  0.0026323 ],0.09748570391213579
19807,SP,E,[0.05694391 0.14379913 0.57820051 0.13766582 0.08126717 0.00212346],0.08126716631727249
19807,TO,E,[0.07581227 0.15598392 0.48327771 0.18384306 0.09829031 0.00279273],0.09829030719978203
26545,AC,C,[0.29673351 0.19097671 0.11626779 0.14683053 0.24442109 0.00477038],0.11626778783958602
26545,AL,C,[0.30606515 0.16174672 0.13614632 0.14451301 0.24663665 0.00489215],0.1361463197687347
26545,AM,C,[0.26974353 0.19349075 0.14013579 0.1450837  0.24789027 0.00365596],0.14013579262761483
26545,AP,C,[0.29767481 0.18133155 0.11717966 0.14578454 0.25384744 0.004182  ],0.1171796587487454
26545,BA,C,[0.29552642 0.15609249 0.14497347 0.15550658 0.24401936 0.00388167],0.14497346747185288
26545,CE,C,[0.30540454 0.15774983 0.14373488 0.15191675 0.23784192 0.00335208],0.1437348825995318
26545,DF,C,[0.27312238 0.11864631 0.20959877 0.14724121 0.23819367 0.01319765],0.20959877033974664
26545,ES,C,[0.29868505 0.13716763 0.1527899  0.14755338 0.26013848 0.00366556],0.15278989934252632
26545,GO,C,[0.29730444 0.15703825 0.15479317 0.14845412 0.23818398 0.00422603],0.1547931737809799
26545,MA,C,[0.29185115 0.18785821 0.12974331 0.14279506 0.24335189 0.00440038],0.12974331115034632
26545,MG,C,[0.30042313 0.12961331 0.17617536 0.14630936 0.2445228  0.00295604],0.1761753643629525
26545,MS,C,[0.28747169 0.16147799 0.15073056 0.15059733 0.24612515 0.00359728],0.15073055913309943
26545,MT,C,[0.30021304 0.16694024 0.14270248 0.14388992 0.24262215 0.00363217],0.14270247616386686
26545,PA,C,[0.3004702  0.19154358 0.12607455 0.14081765 0.23671506 0.00437896],0.1260745499901294
